dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,parquet+snappy,27538,2.189,110.17,2.34
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,parquet+zstd,19572,3.08,11.58,192.71
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,polypress,12099,4.9823,2.16,57.62
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,polypress+brotli,12116,4.9753,,
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,polypress+zstd,13340,4.5188,,
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,polypress-turbo,12321,4.8925,2.38,73.01
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,xz -9e,12836,4.6962,5.5,17.46
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,zstd -19,13454,4.4805,3.4,22.82
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,zstd -22,13454,4.4805,1.15,20.09
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,zstd -3,15393,3.9161,20.5,24.19
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,brotli -q11,13706,4.406,1.38,21.98
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,bzip2 -9,13090,4.6134,14.08,24.2
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,feather+lz4,36370,1.6604,377.48,521.17
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,feather+zstd,24042,2.5118,258.2,471.68
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,gzip -9,15904,3.7971,15.28,31.96
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,lz4 -9,19371,3.1175,23.02,31.24
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,orc+snappy,23366,2.5845,98.86,309.65
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,orc+zlib,16222,3.7227,67.53,274.42
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,orc+zstd,16510,3.6577,113.74,349.37
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,parquet+brotli,19060,3.1684,2.23,88.29
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,parquet+gzip,20741,2.9116,48.94,135.45
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,parquet+snappy,27462,2.199,42.81,2.35
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,parquet+zstd,20105,3.0037,20.08,193.06
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,polypress,12224,4.9402,1.83,75.59
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,polypress+brotli,11754,5.1377,,
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,polypress+zstd,13163,4.5878,,
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,polypress-turbo,12249,4.9301,2.05,53.45
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,xz -9e,14332,4.2136,5.24,20.79
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,zstd -19,15086,4.003,3.56,23.6
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,zstd -22,15086,4.003,1.17,21.47
data_daily_arrests_xhwt-7h2h.csv,60389,432,9,zstd -3,16966,3.5594,21.34,25.43
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,brotli -q11,13700,4.5716,1.32,25.64
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,bzip2 -9,13804,4.5372,14.31,26.47
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,feather+lz4,35482,1.7651,335.07,460.06
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,feather+zstd,24474,2.5591,228.83,415.0
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,gzip -9,16301,3.8422,20.11,33.55
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,lz4 -9,20450,3.0626,24.56,32.35
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,orc+snappy,27586,2.2704,91.44,286.16
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,orc+zlib,20586,3.0424,53.22,217.46
