dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,polypress+zstd,2841,33.3316,,
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,xz -9e,5516,17.1673,6.13,38.29
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,zstd -19,5997,15.7904,3.05,34.2
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,zstd -22,5997,15.7904,1.41,30.7
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,zstd -3,8798,10.7632,33.33,41.32
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,brotli -q11,17396,5.7808,1.15,34.89
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,bzip2 -9,13798,7.2882,19.19,37.61
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,feather+lz4,50834,1.9782,569.21,809.57
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,feather+zstd,32642,3.0808,661.11,1036.33
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,gzip -9,20904,4.8107,13.81,55.87
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,lz4 -9,28334,3.5492,22.23,48.37
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,orc+snappy,22349,4.4996,196.82,565.4
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,orc+zlib,15563,6.4616,152.32,632.37
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,orc+zstd,14285,7.0397,248.84,1016.36
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+brotli,30066,3.3447,1.54,233.81
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+gzip,32010,3.1416,35.72,312.44
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+snappy,44688,2.2503,196.73,3.83
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+zstd,29693,3.3867,11.4,402.47
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,polypress,12948,7.7666,1.41,87.31
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,polypress+brotli,12406,8.1059,,
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,polypress+zstd,13383,7.5142,,
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,xz -9e,16300,6.1694,5.32,30.72
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,zstd -19,18741,5.3659,3.35,40.96
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,zstd -22,18741,5.3659,1.51,33.95
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,zstd -3,23006,4.3711,32.42,41.66
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,brotli -q11,24700,4.4273,1.34,40.89
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,bzip2 -9,22670,4.8238,17.37,34.11
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,feather+lz4,63762,1.715,597.22,862.16
