dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,zstd -19,16297,5.1035,3.57,31.1
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,zstd -22,16297,5.1035,1.45,27.72
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,zstd -3,19613,4.2406,28.42,35.0
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,brotli -q11,21130,4.0746,1.33,29.38
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,bzip2 -9,20682,4.1628,15.91,29.3
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,feather+lz4,55050,1.564,417.95,689.15
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,feather+zstd,36714,2.345,261.87,510.05
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,gzip -9,25885,3.3261,9.99,45.68
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,lz4 -9,31085,2.7697,22.63,43.05
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,orc+snappy,39182,2.1973,124.22,281.46
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,orc+zlib,28576,3.0129,63.68,254.84
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,orc+zstd,28871,2.9821,113.1,420.39
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,parquet+brotli,31442,2.7382,1.7,131.08
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,parquet+gzip,34095,2.5252,37.35,142.56
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,parquet+snappy,45437,1.8948,131.46,3.3
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,parquet+zstd,32735,2.6301,12.72,204.94
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,polypress,20458,4.2084,1.25,68.7
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,polypress+brotli,20209,4.2603,,
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,polypress+zstd,22610,3.8079,,
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,xz -9e,21916,3.9285,5.79,27.21
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,zstd -19,23689,3.6344,3.94,26.59
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,zstd -22,23689,3.6344,1.5,27.78
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,zstd -3,27622,3.1169,28.75,35.26
data_open_meetings_au6r-w9n3.csv,86404,147,31,brotli -q11,13473,6.4131,1.48,35.6
data_open_meetings_au6r-w9n3.csv,86404,147,31,bzip2 -9,16772,5.1517,15.88,28.94
data_open_meetings_au6r-w9n3.csv,86404,147,31,feather+lz4,39418,2.192,337.43,480.01
data_open_meetings_au6r-w9n3.csv,86404,147,31,feather+zstd,29250,2.954,229.22,382.28
data_open_meetings_au6r-w9n3.csv,86404,147,31,gzip -9,18400,4.6959,27.56,44.75
data_open_meetings_au6r-w9n3.csv,86404,147,31,lz4 -9,20004,4.3193,29.26,42.75
data_open_meetings_au6r-w9n3.csv,86404,147,31,orc+snappy,31961,2.7034,66.62,302.0
data_open_meetings_au6r-w9n3.csv,86404,147,31,orc+zlib,23858,3.6216,46.43,228.07
data_open_meetings_au6r-w9n3.csv,86404,147,31,orc+zstd,24216,3.5681,68.59,290.85
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+brotli,25583,3.3774,1.99,110.49
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+gzip,29045,2.9748,55.35,114.0
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+snappy,35612,2.4263,122.72,9.3
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+zstd,28016,3.0841,12.49,140.03
data_open_meetings_au6r-w9n3.csv,86404,147,31,polypress,14570,5.9303,1.74,79.56
data_open_meetings_au6r-w9n3.csv,86404,147,31,polypress+brotli,13364,6.4654,,
data_open_meetings_au6r-w9n3.csv,86404,147,31,polypress+zstd,15305,5.6455,,
data_open_meetings_au6r-w9n3.csv,86404,147,31,xz -9e,14800,5.8381,6.23,31.33
data_open_meetings_au6r-w9n3.csv,86404,147,31,zstd -19,15511,5.5705,3.63,29.57
data_open_meetings_au6r-w9n3.csv,86404,147,31,zstd -22,15490,5.5781,1.09,28.8
data_open_meetings_au6r-w9n3.csv,86404,147,31,zstd -3,17569,4.918,28.51,34.33
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,brotli -q11,5121,17.7967,1.18,31.99
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,bzip2 -9,7458,12.22,17.57,33.35
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,feather+lz4,15666,5.8175,998.06,948.53
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,feather+zstd,9906,9.2002,882.81,903.68
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,gzip -9,9923,9.1844,13.98,48.84
